0.000	-0.340	1.000
0.049	0.631	0.999
0.098	0.354	0.995
0.147	-0.731	0.989
0.195	0.940	0.981
0.243	-0.482	0.970
0.290	-0.785	0.957
0.337	-0.113	0.942
0.383	-0.566	0.924
0.428	0.060	0.904
0.471	-0.911	0.882
0.514	0.156	0.858
0.556	-0.675	0.831
0.596	0.054	0.803
0.634	-0.663	0.773
0.672	0.600	0.741
0.707	-0.694	0.707
0.741	0.399	0.672
0.773	-0.646	0.634
0.803	-0.033	0.596
0.831	-0.708	0.556
0.858	0.303	0.514
0.882	-0.573	0.471
0.904	-0.392	0.428
0.924	-0.126	0.383
0.942	0.743	0.337
0.957	-0.246	0.290
0.970	0.653	0.243
0.981	-0.060	0.195
0.989	-0.261	0.147
0.995	-0.250	0.098
0.999	-0.797	0.049
1.000	0.188	-0.000
0.999	-0.590	-0.049
0.995	0.502	-0.098
0.989	0.175	-0.147
0.981	0.794	-0.195
0.970	0.348	-0.243
0.957	0.627	-0.290
0.942	-0.737	-0.337
0.924	0.788	-0.383
0.904	-0.722	-0.428
0.882	-0.202	-0.471
0.858	-0.189	-0.514
0.831	0.186	-0.556
0.803	0.362	-0.596
0.773	-0.301	-0.634
0.741	0.134	-0.672
0.707	-0.253	-0.707
0.672	0.778	-0.741
0.634	0.452	-0.773
0.596	-0.015	-0.803
0.556	-0.039	-0.831
0.514	0.007	-0.858
0.471	-0.457	-0.882
0.428	0.526	-0.904
0.383	0.157	-0.924
0.337	-0.900	-0.942
0.290	0.417	-0.957
0.243	0.008	-0.970
0.195	-0.524	-0.981
0.147	-0.218	-0.989
0.098	0.017	-0.995
0.049	-0.064	-0.999
0.000	-0.101	-1.000
-0.049	0.807	-0.999
-0.098	0.316	-0.995
-0.147	0.309	-0.989
-0.195	0.278	-0.981
-0.243	-0.474	-0.970
-0.290	0.650	-0.957
-0.337	-0.737	-0.942
-0.383	0.098	-0.924
-0.428	0.013	-0.904
-0.471	0.914	-0.882
-0.514	-0.110	-0.858
-0.556	-0.109	-0.831
-0.596	0.537	-0.803
-0.634	0.153	-0.773
-0.672	-0.919	-0.741
-0.707	0.843	-0.707
-0.741	-0.687	-0.672
-0.773	-0.844	-0.634
-0.803	0.782	-0.596
-0.831	0.396	-0.556
-0.858	-0.646	-0.514
-0.882	0.055	-0.471
-0.904	0.146	-0.428
-0.924	-0.925	-0.383
-0.942	-0.495	-0.337
-0.957	0.184	-0.290
-0.970	0.942	-0.243
-0.981	0.172	-0.195
-0.989	0.925	-0.147
-0.995	-0.521	-0.098
-0.999	-0.973	-0.049
-1.000	0.020	0.000
-0.999	-0.668	0.049
-0.995	0.695	0.098
-0.989	-0.282	0.147
-0.981	-0.554	0.195
-0.970	0.929	0.243
-0.957	-0.819	0.290
-0.942	0.685	0.337
-0.924	-0.333	0.383
-0.904	0.530	0.428
-0.882	0.414	0.471
-0.858	-0.055	0.514
-0.831	0.923	0.556
-0.803	-0.342	0.596
-0.773	-0.813	0.634
-0.741	0.241	0.672
-0.707	0.456	0.707
-0.672	0.099	0.741
-0.634	-0.433	0.773
-0.596	0.880	0.803
-0.556	0.498	0.831
-0.514	0.250	0.858
-0.471	0.202	0.882
-0.428	0.041	0.904
-0.383	0.040	0.924
-0.337	-0.018	0.942
-0.290	-0.131	0.957
-0.243	-0.685	0.970
-0.195	0.468	0.981
-0.147	0.148	0.989
-0.098	-0.154	0.995
-0.049	-0.075	0.999
